Model,RTH1004
SerialNumber,104946
Firmware Version,'1.80.3.4'

Acquisition Time Stamp,2022-01-26 14:15:27.233034736,2022-01-26 14:15:27.233034736,2022-01-26 14:15:27.233034736,2022-01-26 14:15:27.233034736,2022-01-26 14:15:27.233034736,2022-01-26 14:15:27.233034736,2022-01-26 14:15:27.233034736,2022-01-26 14:15:27.233034736
Waveform Type,DIGITAL,,,,,,,
,,,,,,,,
Horizontal Unit,s,,,,,,,
Horizontal Scale,0.0002,,,,,,,
Horizontal Position,0,,,,,,,
Reference Point,50 %,,,,,,,
Sample Interval,1.6e-08,,,,,,,
Record Length,125000,,,,,,,
,,,,,,,,
Vertical Unit,,,,,,,,
Threshold,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4
,,,,,,,,
,,,,,,,,
History Index,0,0,0,0,0,0,0,0
History Time Stamp,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000
,,,,,,,,
TIME,D7,D6,D5,D4,D3,D2,D1,D0
-0.00099635,0,0,0,0,0,1,0,1
-0.00099634,0,0,0,0,0,1,0,1
-0.00099632,0,0,0,0,0,1,0,1
-0.0009963,0,0,0,0,0,1,0,1
-0.00099629,0,0,0,0,0,1,0,1
-0.00099627,0,0,0,0,0,1,0,1
-0.00099626,0,0,0,0,0,1,0,1
-0.00099624,0,0,0,0,0,1,0,1
-0.00099622,0,0,0,0,0,1,0,1
-0.00099621,0,0,0,0,0,1,0,1
-0.00099619,0,0,0,0,0,1,0,1
-0.00099618,0,0,0,0,0,1,0,1
-0.00099616,0,0,0,0,0,1,0,1
-0.00099614,0,0,0,0,0,1,0,1
-0.00099613,0,0,0,0,0,1,0,1
-0.00099611,0,0,0,0,0,1,0,1
-0.0009961,0,0,0,0,0,1,0,1
-0.00099608,0,0,0,0,0,1,0,1
-0.00099606,0,0,0,0,0,1,0,1
-0.00099605,0,0,0,0,0,1,0,1
-0.00099603,0,0,0,0,0,1,0,1
-0.00099602,0,0,0,0,0,1,0,1
-0.000996,0,0,0,0,0,1,0,1
-0.00099598,0,0,0,0,0,1,0,1
-0.00099597,0,0,0,0,0,1,0,1
-0.00099595,0,0,0,0,0,1,0,1
-0.00099594,0,0,0,0,0,1,0,1
-0.00099592,0,0,0,0,0,1,0,1
-0.0009959,0,0,0,0,0,1,0,1
-0.00099589,0,0,0,0,0,1,0,1
-0.00099587,0,0,0,0,0,1,0,1
-0.00099586,0,0,0,0,0,1,0,1
-0.00099584,0,0,0,0,0,1,0,1
-0.00099582,0,0,0,0,0,1,0,1
-0.00099581,0,0,0,0,0,1,0,1
-0.00099579,0,0,0,0,0,1,0,1
-0.00099578,0,0,0,0,0,1,0,1
-0.00099576,0,0,0,0,0,1,0,1
-0.00099574,0,0,0,0,0,1,0,1
-0.00099573,0,0,0,0,0,1,0,1
-0.00099571,0,0,0,0,0,1,0,1
-0.0009957,0,0,0,0,0,1,0,1
-0.00099568,0,0,0,0,0,1,0,1
-0.00099566,0,0,0,0,0,1,0,1
-0.00099565,0,0,0,0,0,1,0,1
-0.00099563,0,0,0,0,0,1,0,1
-0.00099562,0,0,0,0,0,1,0,1
-0.0009956,0,0,0,0,0,1,0,1
-0.00099558,0,0,0,0,0,1,0,1
-0.00099557,0,0,0,0,0,1,0,1
-0.00099555,0,0,0,0,0,1,0,1
-0.00099554,0,0,0,0,0,1,0,1
-0.00099552,0,0,0,0,0,1,0,1
-0.0009955,0,0,0,0,0,1,0,1
-0.00099549,0,0,0,0,0,1,0,1
-0.00099547,0,0,0,0,0,1,0,1
-0.00099546,0,0,0,0,0,1,0,1
-0.00099544,0,0,0,0,0,1,0,1
-0.00099542,0,0,0,0,0,1,0,1
-0.00099541,0,0,0,0,0,1,0,1
-0.00099539,0,0,0,0,0,1,0,1
-0.00099538,0,0,0,0,0,1,0,1
-0.00099536,0,0,0,0,0,1,0,1
-0.00099534,0,0,0,0,0,1,0,1
-0.00099533,0,0,0,0,0,1,0,1
-0.00099531,0,0,0,0,0,1,0,1
-0.0009953,0,0,0,0,0,1,0,1
-0.00099528,0,0,0,0,0,1,0,1
-0.00099526,0,0,0,0,0,1,0,1
-0.00099525,0,0,0,0,0,1,0,1
-0.00099523,0,0,0,0,0,1,0,1
-0.00099522,0,0,0,0,0,1,0,1
-0.0009952,0,0,0,0,0,1,0,1
-0.00099518,0,0,0,0,0,1,0,1
-0.00099517,0,0,0,0,0,1,0,1
-0.00099515,0,0,0,0,0,1,0,1
-0.00099514,0,0,0,0,0,1,0,1
-0.00099512,0,0,0,0,0,1,0,1
-0.0009951,0,0,0,0,0,1,0,1
-0.00099509,0,0,0,0,0,1,0,1
-0.00099507,0,0,0,0,0,1,0,1
-0.00099506,0,0,0,0,0,1,0,1
-0.00099504,0,0,0,0,0,1,0,1
-0.00099502,0,0,0,0,0,1,0,1
-0.00099501,0,0,0,0,0,1,0,1
-0.00099499,0,0,0,0,0,1,0,1
-0.00099498,0,0,0,0,0,1,0,1
-0.00099496,0,0,0,0,0,1,0,1
-0.00099494,0,0,0,0,0,1,0,1
-0.00099493,0,0,0,0,0,1,0,1
-0.00099491,0,0,0,0,0,1,0,1
-0.0009949,0,0,0,0,0,1,0,1
-0.00099488,0,0,0,0,0,1,0,1
-0.00099486,0,0,0,0,0,1,0,1
-0.00099485,0,0,0,0,0,1,0,1
-0.00099483,0,0,0,0,0,1,0,1
-0.00099482,0,0,0,0,0,1,0,1
-0.0009948,0,0,0,0,0,1,0,1
-0.00099478,0,0,0,0,0,1,0,1
-0.00099477,0,0,0,0,0,1,0,1
-0.00099475,0,0,0,0,0,1,0,1
-0.00099474,0,0,0,0,0,1,0,1
-0.00099472,0,0,0,0,0,1,0,1
-0.0009947,0,0,0,0,0,1,0,1
-0.00099469,0,0,0,0,0,1,0,1
-0.00099467,0,0,0,0,0,1,0,1
-0.00099466,0,0,0,0,0,1,0,1
-0.00099464,0,0,0,0,0,1,0,1
-0.00099462,0,0,0,0,0,1,0,1
-0.00099461,0,0,0,0,0,1,0,1
-0.00099459,0,0,0,0,0,1,0,1
-0.00099458,0,0,0,0,0,1,0,1
-0.00099456,0,0,0,0,0,1,0,1
-0.00099454,0,0,0,0,0,1,0,1
-0.00099453,0,0,0,0,0,1,0,1
-0.00099451,0,0,0,0,0,1,0,1
-0.0009945,0,0,0,0,0,1,0,1
-0.00099448,0,0,0,0,0,1,0,1
-0.00099446,0,0,0,0,0,1,0,1
-0.00099445,0,0,0,0,0,1,0,1
-0.00099443,0,0,0,0,0,1,0,1
-0.00099442,0,0,0,0,0,1,0,1
-0.0009944,0,0,0,0,0,1,0,1
-0.00099438,0,0,0,0,0,1,0,1
-0.00099437,0,0,0,0,0,1,0,1
-0.00099435,0,0,0,0,0,1,0,1
-0.00099434,0,0,0,0,0,1,0,1
-0.00099432,0,0,0,0,0,1,0,1
-0.0009943,0,0,0,0,0,1,0,1
-0.00099429,0,0,0,0,0,1,0,1
-0.00099427,0,0,0,0,0,1,0,1
-0.00099426,0,0,0,0,0,1,0,1
-0.00099424,0,0,0,0,0,1,0,1
-0.00099422,0,0,0,0,0,1,0,1
-0.00099421,0,0,0,0,0,1,0,1
-0.00099419,0,0,0,0,0,1,0,1
-0.00099418,0,0,0,0,0,1,0,1
-0.00099416,0,0,0,0,0,1,0,1
-0.00099414,0,0,0,0,0,1,0,1
-0.00099413,0,0,0,0,0,1,0,1
-0.00099411,0,0,0,0,0,1,0,1
-0.0009941,0,0,0,0,0,1,0,1
-0.00099408,0,0,0,0,0,1,0,1
-0.00099406,0,0,0,0,0,1,0,1
-0.00099405,0,0,0,0,0,1,0,1
-0.00099403,0,0,0,0,0,1,0,1
-0.00099402,0,0,0,0,0,1,0,1
-0.000994,0,0,0,0,0,1,0,1
-0.00099398,0,0,0,0,0,1,0,1
-0.00099397,0,0,0,0,0,1,0,1
-0.00099395,0,0,0,0,0,1,0,1
-0.00099394,0,0,0,0,0,1,0,1
-0.00099392,0,0,0,0,0,1,0,1
-0.0009939,0,0,0,0,0,1,0,1
-0.00099389,0,0,0,0,0,1,0,1
-0.00099387,0,0,0,0,0,1,0,1
